learning_rates = [0.001, 0.01, 0.1, 0.2, 0.25, 0.3]
dropout_rates = [0.1, 0.2, 0.3]
batch_sizes = [16, 32, 64, 128, 256]
epochs_list = [10, 20, 30, 40, 50]

Accuracy: 0.09000000357627869 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.07500000298023224 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 40}
Accuracy: 0.07500000298023224 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 32, 'epochs': 50}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.09000000357627869 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.09000000357627869 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 40}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 64, 'epochs': 50}
Accuracy: 0.125 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 10}
Accuracy: 0.07500000298023224 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 20}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.13500000536441803 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.1550000011920929 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 10}
Accuracy: 0.1599999964237213 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 20}
Accuracy: 0.07500000298023224 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 30}
Accuracy: 0.07500000298023224 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 40}
Accuracy: 0.125 Params: {'learning_rate': 0.1, 'dropout_rate': 0.1, 'batch_size': 256, 'epochs': 50}
Accuracy: 0.10999999940395355 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 10}
Accuracy: 0.07500000298023224 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 20}
Accuracy: 0.10999999940395355 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 30}
Accuracy: 0.07500000298023224 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 40}
Accuracy: 0.10000000149011612 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 16, 'epochs': 50}
Accuracy: 0.10499999672174454 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 10}
Accuracy: 0.08500000089406967 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 20}
Accuracy: 0.0949999988079071 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 30}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 40}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 32, 'epochs': 50}
Accuracy: 0.1599999964237213 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 10}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 20}
Accuracy: 0.10499999672174454 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 30}
Accuracy: 0.10000000149011612 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 40}
Accuracy: 0.125 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 64, 'epochs': 50}
Accuracy: 0.20999999344348907 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 10}
Accuracy: 0.14499999582767487 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 20}
Accuracy: 0.09000000357627869 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 30}
Accuracy: 0.125 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 40}
Accuracy: 0.15000000596046448 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 128, 'epochs': 50}
Accuracy: 0.19499999284744263 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 10}
Accuracy: 0.18000000715255737 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 20}
Accuracy: 0.1850000023841858 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 30}
Accuracy: 0.20000000298023224 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 40}
Accuracy: 0.05999999865889549 Params: {'learning_rate': 0.1, 'dropout_rate': 0.2, 'batch_size': 256, 'epochs': 50}
